,title,date,location,year,used,kms,import,style,gearBox,fuelEngine,exterior,interior,seats,doors,motivated,url
2076,Xe Lexus RX 300 2020- 2 Tỷ 760 Triệu,Đăng ngày  9/11/2023. Xem 12 lượt,"Auto 31  Điện thoại:  0976 995 555    Hoặc  0982 060 205    Địa chỉ: 31-33 Nguyễn văn Cừ, Long Biên Hà Nội  Website: auto31.bonbanh.com",2020,Xe đã dùng,"50,000 Km",Nhập khẩu,SUV,Số tự động,Xăng  2.0 L,Vàng,,5 chỗ,5 cửa,,https://bonbanh.com/xe-lexus-rx-300-2020-5289994
2077,Xe Nissan Maxima 3.0 AT 2007- 315 Triệu,Đăng ngày  9/11/2023. Xem 9 lượt,Boss Car  Điện thoại:  0983 153 398   Địa chỉ: 68 Lê Văn Lương Hà Nội  Website: bosscar.bonbanh.com,2007,Xe đã dùng,0 Km,Nhập khẩu,Sedan,Số tự động,Xăng  3.0 L,Bạc,,5 chỗ,4 cửa,,https://bonbanh.com/xe-nissan-maxima-3.0-at-2007-5035860
2078,Xe Hyundai SantaFe Premium 2.2L HTRAC 2020- 910 Triệu,Đăng ngày  9/11/2023. Xem 19 lượt,Phạm Tâm Long  Điện thoại:     Địa chỉ: Nguyễn Văn Cừ - Long Biên - Hà Nội Hà Nội,2020,Xe đã dùng,"45,000 Km",Lắp ráp trong nước,SUV,Số tự động,Dầu  2.2 L,Nâu,,7 chỗ,5 cửa,,https://bonbanh.com/xe-hyundai-santafe-premium-2.2l-htrac-2020-5270689
2079,Xe Mercedes Benz S class S450 Luxury 2021- 4 Tỷ 599 Triệu,Đăng ngày  9/11/2023. Xem 10 lượt,Lê Văn Anh  Điện thoại:     Địa chỉ: 713 Lạc Long Quân Hà Nội   Xem gian hàng  ⇨,2021,Xe đã dùng,"29,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng  3.0 L,Đen,,5 chỗ,4 cửa,,https://bonbanh.com/xe-mercedes_benz-s_class-s450-luxury-2021-5200995
2080,Xe Hyundai Kona 2.0 ATH 2021- 575 Triệu,Đăng ngày  9/11/2023. Xem 13 lượt,Phạm Tâm Long  Điện thoại:     Địa chỉ: Nguyễn Văn Cừ - Long Biên - Hà Nội Hà Nội,2021,Xe đã dùng,"10,000 Km",Lắp ráp trong nước,Crossover,Số tự động,Xăng  2.0 L,Đen,,5 chỗ,5 cửa,,https://bonbanh.com/xe-hyundai-kona-2.0-ath-2021-5288330
2081,Xe Bentley Bentayga First Edition 4.0 V8 2021- 15 Tỷ 999 Triệu,Đăng ngày  9/11/2023. Xem 8 lượt,"Mr Vương  Điện thoại:     Địa chỉ: 88 Tố Hữu, Vạn Phúc, Hà Đông Hà Nội   Xem gian hàng  ⇨",2021,Xe đã dùng,0 Km,Nhập khẩu,SUV,Số tự động,Xăng  4.0 L,Đỏ,,5 chỗ,5 cửa,,https://bonbanh.com/xe-bentley-bentayga-first-edition-4.0-v8-2021-5162865
2082,Xe Mercedes Benz E class E200 Exclusive 2021- 1 Tỷ 789 Triệu,Đăng ngày  9/11/2023. Xem 10 lượt,Lê Văn Anh  Điện thoại:     Địa chỉ: 713 Lạc Long Quân Hà Nội   Xem gian hàng  ⇨,2021,Xe đã dùng,"1,800 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  2.0 L,Trắng,,5 chỗ,4 cửa,,https://bonbanh.com/xe-mercedes_benz-e_class-e200-exclusive-2021-5256051
2083,Xe BMW 4 Series 430i Gran Coupe M Sport 2023- 3 Tỷ 29 Triệu,Đăng ngày  9/11/2023. Xem 15 lượt,"BMW Giải Phóng  Điện thoại:  0919 904 929   Địa chỉ: Số 5 Đường Ngọc Hồi, Hoàng Liệt, Hoàng Mai Hà Nội  Website: bmwgiaiphong.bonbanh.com",2023,Xe mới,,Nhập khẩu,Coupe,Số tự động,Xăng  2.0 L,Cam,,4 chỗ,4 cửa,,https://bonbanh.com/xe-bmw-4_series-430i-gran-coupe-m-sport-2023-5192107
2084,Xe Mercedes Benz GLC 200 4Matic 2021- 1 Tỷ 679 Triệu,Đăng ngày  9/11/2023. Xem 5 lượt,Lê Văn Anh  Điện thoại:     Địa chỉ: 713 Lạc Long Quân Hà Nội   Xem gian hàng  ⇨,2021,Xe đã dùng,"13,999 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  2.0 L,Đen,,5 chỗ,5 cửa,,https://bonbanh.com/xe-mercedes_benz-glc-200-4matic-2021-5275022
2085,Xe Hyundai i10 Grand 1.2 MT 2019- 290 Triệu,Đăng ngày  9/11/2023. Xem 9 lượt,"Ô tô Kha Sơn  Điện thoại:  0973 587 866    Hoặc  0859 333 555    Địa chỉ: Ngã ba Hang Non, Kham Lạng, Lục Nam Bắc Giang  Website: otokhason.bonbanh.com",2019,Xe đã dùng,7 Km,Lắp ráp trong nước,Sedan,Số tay,Xăng  1.25 L,Trắng,,5 chỗ,4 cửa,,https://bonbanh.com/xe-hyundai-i10-grand-1.2-mt-2019-5289998
2086,Xe Ford Escape 2.3 AT 2007- 146 Triệu,Đăng ngày  9/11/2023. Xem 32 lượt,"Hợp Nhất Auto  Điện thoại:  0975 046 869   Địa chỉ: Khu tái định cư Nguyễn Mậu Tài, Trâu Quỳ, Gia Lâm Hà Nội  Website: hopnhatauto.bonbanh.com",2007,Xe đã dùng,0 Km,Lắp ráp trong nước,SUV,Số tự động,Xăng  2.3 L,Ghi,,5 chỗ,5 cửa,,https://bonbanh.com/xe-ford-escape-2.3-at-2007-5235810
2087,Xe Toyota Innova 2.0E 2016- 418 Triệu,Đăng ngày  9/11/2023. Xem 10 lượt,Sáng Trần ÔTô  Điện thoại:  0975 790 665   Địa chỉ: 290 Đường Máng Nước - An Dương Hải Phòng  Website: sangtranoto.bonbanh.com,2016,Xe đã dùng,"80,000 Km",Lắp ráp trong nước,Crossover,Số tay,Xăng  2.0 L,Bạc,,8 chỗ,5 cửa,,https://bonbanh.com/xe-toyota-innova-2.0e-2016-5157674
2088,Xe Mercedes Benz GLC 200 2022- 1 Tỷ 492 Triệu,Đăng ngày  9/11/2023. Xem 12 lượt,"Tuấn Mỳ Auto 31  Điện thoại:  0982 603 488    Hoặc  0904 232 979    Địa chỉ: 31 Nguyễn Văn Cừ, Long Biên Hà Nội  Website: tuan-auto31.bonbanh.com",2022,Xe đã dùng,"13,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  2.0 L,Đen,,5 chỗ,5 cửa,,https://bonbanh.com/xe-mercedes_benz-glc-200-2022-5260892
2089,Xe Mazda BT50 Premium 3.2L 4x4 AT 2019- 495 Triệu,Đăng ngày  9/11/2023. Xem 10 lượt,"Salon Auto Hoàng Hải  Điện thoại:  0913 513 049    Hoặc  0977 817 781    Địa chỉ: Số 2 Nguyễn Văn Linh, Long Biên (đối diện BigC Long Biên) Hà Nội  Website: autohoanghai.bonbanh.com",2019,Xe đã dùng,"67,899 Km",Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu  3.2 L,Xanh,,5 chỗ,4 cửa,,https://bonbanh.com/xe-mazda-bt50-premium-3.2l-4x4-at-2019-5159317
2090,Xe BMW 3 Series 320i 2007- 255 Triệu,Đăng ngày  9/11/2023. Xem 23 lượt,"Auto Minh Quang  Điện thoại:  0939 734 567    Hoặc  0933 334 533    Địa chỉ: 222 Đinh Bộ Lĩnh, P 26, Q. Bình Thạnh TP HCM  Website: autominhquang.bonbanh.com",2007,Xe đã dùng,"98,900 Km",Nhập khẩu,Sedan,Số tự động,Xăng  2.0 L,Đỏ,,5 chỗ,4 cửa,,https://bonbanh.com/xe-bmw-3_series-320i-2007-5102553
2091,Xe Jaguar F-Pace Prestige 2016- 1 Tỷ 480 Triệu,Đăng ngày  9/11/2023. Xem 13 lượt,Nguyễn Minh Vinh  Điện thoại:     Địa chỉ: 68 Dương Đình Nghệ Yên Hoà Cầu giấy hà nội Hà Nội   Xem gian hàng  ⇨,2016,Xe đã dùng,"60,000 Km",Nhập khẩu,SUV,Số tự động,Xăng  3.0 L,Xanh,,5 chỗ,5 cửa,,https://bonbanh.com/xe-jaguar-f-pace-prestige-2016-5147968
2092,Xe MG 5 Standard 1.5 AT 2022- 430 Triệu,Đăng ngày  9/11/2023. Xem 17 lượt,"MG Long Biên  Điện thoại:  0986 574 664   Địa chỉ: Số 3-5 Nguyễn Văn Linh, P. Gia Thụy, Quận Long Biên Hà Nội  Website: mglongbien.bonbanh.com",2022,Xe mới,,Nhập khẩu,Sedan,Số tự động,Xăng  1.5 L,Đen,,5 chỗ,4 cửa,,https://bonbanh.com/xe-mg-5-standard-1.5-at-2022-5182692
2093,Xe Toyota Camry 2.0G 2020- 835 Triệu,Đăng ngày  9/11/2023. Xem 28 lượt,"Toyota Sure Pháp Vân  Điện thoại:  0847 655 555   Địa chỉ: Ngã ba Pháp Vân, Phường Hoàng Liệt, Quận Hoàng Mai Hà Nội  Website: toyotasurephapvan.bonbanh.com",2020,Xe đã dùng,"41,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng  2.0 L,Đen,,5 chỗ,4 cửa,,https://bonbanh.com/xe-toyota-camry-2.0g-2020-5209781
2094,Xe Peugeot 3008 GT 2022- 939 Triệu,Đăng ngày  9/11/2023. Xem 13 lượt,"Hyundai Long An - Used Car  Điện thoại:  0932 888 866   Địa chỉ: 24ql1, Kđt Tthc Tỉnh, Phường 6, Tp Tân An Long An  Website: hyundailonganusedcar.bonbanh.com",2022,Xe đã dùng,"6,000 Km",Lắp ráp trong nước,Crossover,Số tự động,Xăng  1.6 L,Trắng,,5 chỗ,5 cửa,,https://bonbanh.com/xe-peugeot-3008-gt-2022-5284184
2095,Xe Mercedes Benz GLB 200 AMG 2020- 1 Tỷ 379 Triệu,Đăng ngày  9/11/2023. Xem 13 lượt,Lê Văn Anh  Điện thoại:     Địa chỉ: 713 Lạc Long Quân Hà Nội   Xem gian hàng  ⇨,2020,Xe đã dùng,"42,000 Km",Nhập khẩu,SUV,Số tự động,Xăng  1.3 L,Trắng,,7 chỗ,5 cửa,,https://bonbanh.com/xe-mercedes_benz-glb-200-amg-2020-5198279
2096,Xe Ford Focus 1.8 AT 2013- 280 Triệu,Đăng ngày  9/11/2023. Xem 10 lượt,"Auto Đại Phát  Điện thoại:  0904 113 271    Hoặc  0905 605 555    Địa chỉ: 29 Tố Hữu, Trung Văn, Nam Từ Liêm Hà Nội  Website: autodaiphat.bonbanh.com",2013,Xe đã dùng,"110,000 Km",Lắp ráp trong nước,Hatchback,Số tự động,Xăng  1.8 L,Cát,,5 chỗ,5 cửa,,https://bonbanh.com/xe-ford-focus-1.8-at-2013-5266355
2097,Xe Lexus LX 570 Super Sport 2016- 4 Tỷ 999 Triệu,Đăng ngày  9/11/2023. Xem 9 lượt,Mr Hoài  Điện thoại:     Địa chỉ: 99 Thành Thái - Dịch Vọng - Cầu Giấy Hà Nội   Xem gian hàng  ⇨,2016,Xe đã dùng,0 Km,Nhập khẩu,SUV,Số tự động,Xăng  5.7 L,Trắng,,7 chỗ,5 cửa,,https://bonbanh.com/xe-lexus-lx-570-super-sport-2016-5087838
2098,Xe Toyota Corolla Cross 1.8V 2023- 880 Triệu,Đăng ngày  9/11/2023. Xem 12 lượt,"Hà Thành Car  Điện thoại:  0797 808 888   Địa chỉ: 279 Phạm Văn Đồng, Xuân Đỉnh, Từ Liêm Hà Nội  Website: hathanhcar.bonbanh.com",2023,Xe đã dùng,"1,800 Km",Nhập khẩu,SUV,Số tự động,Xăng  1.8 L,Đỏ,,5 chỗ,5 cửa,,https://bonbanh.com/xe-toyota-corolla_cross-1.8v-2023-5262143
2099,Xe Mazda CX5 Premium 2.0 AT 2022- 785 Triệu,Đăng ngày  9/11/2023. Xem 7 lượt,Salon Auto T&D  Điện thoại:  0397 755 555    Hoặc  0936 812 222    Địa chỉ: 372 Nguyễn Văn Cừ - Long Biên Hà Nội  Website: tdauto.bonbanh.com,2022,Xe đã dùng,"26,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  2.0 L,Đỏ,,5 chỗ,5 cửa,,https://bonbanh.com/xe-mazda-cx5-premium-2.0-at-2022-5262598
2100,Xe Hyundai Tucson 2.0 AT Đặc biệt 2022- 772 Triệu,Đăng ngày  9/11/2023. Xem 28 lượt,"Salon Ô tô Long Cường  Điện thoại:  0936 689 989    Hoặc  0939 262 662    Địa chỉ: 138-140 Phố mới Tân Dương, Thuỷ Nguyên Hải Phòng  Website: salonotolongcuong.bonbanh.com",2022,Xe đã dùng,"30,000 Km",Lắp ráp trong nước,Crossover,Số tự động,Xăng  2.0 L,Vàng,,5 chỗ,4 cửa,,https://bonbanh.com/xe-hyundai-tucson-2.0-at-dac-biet-2022-5181762
2101,Xe Mazda CX5 Luxury 2.0 AT 2022- 758 Triệu,Đăng ngày  9/11/2023. Xem 12 lượt,"Salon Ô tô Long Cường  Điện thoại:  0936 689 989    Hoặc  0939 262 662    Địa chỉ: 138-140 Phố mới Tân Dương, Thuỷ Nguyên Hải Phòng  Website: salonotolongcuong.bonbanh.com",2022,Xe đã dùng,"20,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  2.0 L,Trắng,,5 chỗ,5 cửa,,https://bonbanh.com/xe-mazda-cx5-luxury-2.0-at-2022-5282485
2102,Xe Hyundai SantaFe Cao cấp 2.2L HTRAC 2022- 1 Tỷ 52 Triệu,Đăng ngày  9/11/2023. Xem 28 lượt,"Salon Ô tô Long Cường  Điện thoại:  0936 689 989    Hoặc  0939 262 662    Địa chỉ: 138-140 Phố mới Tân Dương, Thuỷ Nguyên Hải Phòng  Website: salonotolongcuong.bonbanh.com",2022,Xe đã dùng,"40,000 Km",Lắp ráp trong nước,SUV,Số tự động,Dầu  2.2 L,Xanh,,7 chỗ,5 cửa,,https://bonbanh.com/xe-hyundai-santafe-cao-cap-2.2l-htrac-2022-5289584
2103,Xe Hyundai Accent 1.4 MT 2020- 370 Triệu,Đăng ngày  9/11/2023. Xem 6 lượt,Hào Đông Sơn Auto  Điện thoại:  0969 662 926    Hoặc  0978 777 186    Địa chỉ: Đối diện nhà thi đấu Huyện Đông Sơn-  Rừng Thông - Đông Sơn Thanh Hóa  Website: haodongsonauto.bonbanh.com,2020,Xe đã dùng,40 Km,Lắp ráp trong nước,Sedan,Số tay,Xăng  1.4 L,Đen,,5 chỗ,4 cửa,,https://bonbanh.com/xe-hyundai-accent-1.4-mt-2020-5242129
2104,Xe Toyota Prado VX 2.7L 2020- 2 Tỷ 35 Triệu,Đăng ngày  9/11/2023. Xem 22 lượt,"Toyota Thái Hoà Used Car  Điện thoại:  0922 216 969    Hoặc  0912 911 922    Địa chỉ: Tố Hữu, Quận Nam Từ Liêm Hà Nội  Website: toyotathaihoausedcar.bonbanh.com",2020,Xe đã dùng,"60,000 Km",Nhập khẩu,SUV,Số tự động,Xăng  2.7 L,Đồng,,7 chỗ,5 cửa,,https://bonbanh.com/xe-toyota-prado-vx-2.7l-2020-5260565
2105,Xe Mercedes Benz E class E200 2017- 1 Tỷ 90 Triệu,Đăng ngày  9/11/2023. Xem 8 lượt,"Nguyễn Hoàng Sơn  Điện thoại:     Địa chỉ: 210 Võ Chí Công,Xuân La,Tây Hồ Hà Nội   Xem gian hàng  ⇨",2017,Xe đã dùng,"62,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  2.0 L,Trắng,,5 chỗ,4 cửa,,https://bonbanh.com/xe-mercedes_benz-e_class-e200-2017-5254969
2106,Xe Volkswagen Tiguan Allspace 2018- 899 Triệu,Đăng ngày  9/11/2023. Xem 25 lượt,"Thanh Phương  Điện thoại:      Hoặc  0335 889 500    Địa chỉ: 115 Lê Văn Sỹ, Quận Phú Nhận TP HCM",2018,Xe đã dùng,"45,000 Km",Nhập khẩu,SUV,Số tự động,Xăng  2.0 L,Trắng,,7 chỗ,5 cửa,,https://bonbanh.com/xe-volkswagen-tiguan-allspace-2018-5289985
2107,Xe Lexus IS 250 2006- 420 Triệu,Đăng ngày  9/11/2023. Xem 27 lượt,"Salon Ô tô Siu Hùng  Điện thoại:  0903 199 921   Địa chỉ: 138 Cộng Hòa, P4, Q. Tân Bình TP HCM  Website: otosiuhung.bonbanh.com",2006,Xe đã dùng,0 Km,Nhập khẩu,Sedan,Số tự động,Xăng  2.5 L,Đen,,5 chỗ,4 cửa,,https://bonbanh.com/xe-lexus-is-250-2006-5276991
2108,Xe Ford Ranger Wildtrak 2.0L 4x4 AT 2023- 899 Triệu,Đăng ngày  9/11/2023. Xem 5 lượt,"An Đô Ford  Điện thoại:  0336 926 886   Địa chỉ: 168 Phạm Văn Đồng, Xuân Đỉnh, Q Bắc Từ Liêm Hà Nội  Website: andoford.bonbanh.com",2023,Xe mới,,Lắp ráp trong nước,Bán tải / Pickup,Số tự động,Dầu  2.0 L,Đỏ,,5 chỗ,4 cửa,,https://bonbanh.com/xe-ford-ranger-wildtrak-2.0l-4x4-at-2023-4906515
2109,Xe Mazda 6 2.5 AT 2015- 438 Triệu,Đăng ngày  9/11/2023. Xem 16 lượt,"An Nam Auto  Điện thoại:  0949 345 555   Địa chỉ: Số 69 Vũ Đức Thận,Việt Hưng,Long Biên Hà Nội Hà Nội  Website: annamauto.bonbanh.com",2015,Xe đã dùng,"80,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  2.5 L,Đen,,5 chỗ,4 cửa,,https://bonbanh.com/xe-mazda-6-2.5-at-2015-5254023
2110,Xe Peugeot 2008 Active 1.2 AT 2021- 629 Triệu,Đăng ngày  9/11/2023. Xem 17 lượt,"Salon Ô tô Long Cường  Điện thoại:  0936 689 989    Hoặc  0939 262 662    Địa chỉ: 138-140 Phố mới Tân Dương, Thuỷ Nguyên Hải Phòng  Website: salonotolongcuong.bonbanh.com",2021,Xe đã dùng,"9,000 Km",Lắp ráp trong nước,Crossover,Số tự động,Xăng  1.2 L,Cam,,5 chỗ,5 cửa,,https://bonbanh.com/xe-peugeot-2008-active-1.2-at-2021-5244627
2111,Xe Hyundai Creta Cao cấp 1.5 AT 2022- 686 Triệu,Đăng ngày  9/11/2023. Xem 14 lượt,"Salon Ô tô Long Cường  Điện thoại:  0936 689 989    Hoặc  0939 262 662    Địa chỉ: 138-140 Phố mới Tân Dương, Thuỷ Nguyên Hải Phòng  Website: salonotolongcuong.bonbanh.com",2022,Xe đã dùng,"10,000 Km",Nhập khẩu,Crossover,Số tự động,Xăng  1.5 L,Trắng,,5 chỗ,5 cửa,,https://bonbanh.com/xe-hyundai-creta-cao-cap-1.5-at-2022-5285910
2112,Xe Hyundai Tucson 1.6 AT Turbo HTRAC Đặc biệt 2023- 874 Triệu,Đăng ngày  9/11/2023. Xem 7 lượt,"Việt Hưng  Điện thoại:     Địa chỉ: 138 Phạm Văn Đồng, P.xuân Đỉnh, Q.bắc Từ Liêm Hà Nội   Xem gian hàng  ⇨",2023,Xe mới,,Lắp ráp trong nước,Crossover,Số tự động,Xăng  1.6 L,Đỏ,,5 chỗ,5 cửa,,https://bonbanh.com/xe-hyundai-tucson-1.6-at-turbo-htrac-dac-biet-2023-5068030
2113,Xe Kia Picanto 1.25 AT 2012- 230 Triệu,Đăng ngày  9/11/2023. Xem 7 lượt,Salon ô tô Phong Linh  Điện thoại:  0868 031 111   Địa chỉ: Nhà thi đấu tỉnh - Khai Quang - Vĩnh Yên - Vĩnh Phúc Vĩnh Phúc  Website: otophonglinh.bonbanh.com,2012,Xe đã dùng,"80,000 Km",Lắp ráp trong nước,Hatchback,Số tự động,Xăng  1.25 L,Đỏ,,5 chỗ,5 cửa,,https://bonbanh.com/xe-kia-picanto-1.25-at-2012-5256245
2114,Xe Toyota Fortuner 2.7V 4x2 AT 2020- 840 Triệu,Đăng ngày  9/11/2023. Xem 8 lượt,"Thế Giới Xe Hơi  Điện thoại:  0945 302 666    Hoặc  0982 528 383    Địa chỉ: Số 11-12 Dãy B1 Khu Shop House Tố Hữu, Vạn Phúc, Hà Đông Hà Nội  Website: thegioixehoi.bonbanh.com",2020,Xe đã dùng,"48,000 Km",Nhập khẩu,SUV,Số tự động,Xăng  2.7 L,Trắng,,7 chỗ,5 cửa,,https://bonbanh.com/xe-toyota-fortuner-2.7v-4x2-at-2020-5285565
2115,Xe Kia Carnival Luxury 2.2D 2023- 1 Tỷ 209 Triệu,Đăng ngày  9/11/2023. Xem 8 lượt,"Hoàng Thu Phương  Điện thoại:     Địa chỉ: 568 Đường Láng, Đống Đa Hà Nội   Xem gian hàng  ⇨",2023,Xe mới,,Lắp ráp trong nước,Van/Minivan,Số tự động,Dầu  2.2 L,Xanh,,8 chỗ,5 cửa,,https://bonbanh.com/xe-kia-carnival-luxury-2.2d-2023-4915122
2116,Xe Kia Seltos GT-Line 1.4 AT 2023- 719 Triệu,Đăng ngày  9/11/2023. Xem 22 lượt,"Hoàng Thu Phương  Điện thoại:     Địa chỉ: 568 Đường Láng, Đống Đa Hà Nội   Xem gian hàng  ⇨",2023,Xe mới,,Lắp ráp trong nước,Crossover,Số tự động,Xăng  1.4 L,Trắng,,5 chỗ,5 cửa,,https://bonbanh.com/xe-kia-seltos-gt-line-1.4-at-2023-5189506
2117,Xe Kia Seltos Luxury 1.4 AT 2022- 620 Triệu,Đăng ngày  9/11/2023. Xem 13 lượt,TCT Auto  Điện thoại:  0943 134 776   Địa chỉ: 397 Nguyễn Xiển - Thanh Xuân Hà Nội  Website: tctauto.bonbanh.com,2022,Xe đã dùng,"20,000 Km",Lắp ráp trong nước,Crossover,Số tự động,Xăng  1.4 L,Đỏ,,5 chỗ,5 cửa,,https://bonbanh.com/xe-kia-seltos-luxury-1.4-at-2022-5236645
2118,Xe Hyundai Accent 1.4 ATH 2019- 425 Triệu,Đăng ngày  9/11/2023. Xem 14 lượt,A HUy  Điện thoại:     Địa chỉ:  Hải Phòng Hải Phòng,2019,Xe đã dùng,0 Km,Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.4 L,Đỏ,,5 chỗ,4 cửa,,https://bonbanh.com/xe-hyundai-accent-1.4-ath-2019-5289971
2119,Xe Ford Ranger Raptor 2.0L 4x4 AT 2022- 1 Tỷ 35 Triệu,Đăng ngày  9/11/2023. Xem 8 lượt,"Vinh Quang Auto  Điện thoại:  0354 326 868    Hoặc  0936 332 989    Địa chỉ: Toà Nhà Vinh Quang, Phố Văn Tân, Tây Nam Linh Đàm Hà Nội  Website: vinhquangauto.bonbanh.com",2022,Xe đã dùng,"20,800 Km",Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu  2.0 L,Đen,,5 chỗ,4 cửa,,https://bonbanh.com/xe-ford-ranger-raptor-2.0l-4x4-at-2022-5257469
2120,Xe Kia Morning Si AT 2018- 295 Triệu,Đăng ngày  9/11/2023. Xem 10 lượt,"Siêu Thị Ô tô Ánh Lý  Điện thoại:  0377 818 888    Hoặc  0965 196 999    Địa chỉ: Khu 8 Sóc Đăng, thị trấn Đoan Hùng Phú Thọ  Website: otoanhly.bonbanh.com",2018,Xe đã dùng,"81,000 Km",Lắp ráp trong nước,Hatchback,Số tự động,Xăng  1.25 L,Nâu,,5 chỗ,5 cửa,,https://bonbanh.com/xe-kia-morning-si-at-2018-5256893
2121,Xe Ford Ranger Wildtrak 2.0L 4x4 AT 2019- 655 Triệu,Đăng ngày  9/11/2023. Xem 18 lượt,"Trường Huy Auto  Điện thoại:  0972 111 116    Hoặc  0799 756 666    Địa chỉ: 190-192 Cổ Linh, Long Biên Hà Nội  Website: truonghuy-auto.bonbanh.com",2019,Xe đã dùng,"70,000 Km",Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu  2.0 L,Trắng,,5 chỗ,4 cửa,,https://bonbanh.com/xe-ford-ranger-wildtrak-2.0l-4x4-at-2019-5136647
2122,Xe VinFast Fadil 1.4 AT 2021- 295 Triệu,Đăng ngày  9/11/2023. Xem 7 lượt,Zin Auto  Điện thoại:  0988 999 396    Hoặc  0902 133 333    Địa chỉ: 627 Mê Linh - Khai Quang - Vĩnh Yên Vĩnh Phúc  Website: zinauto.bonbanh.com,2021,Xe đã dùng,"18,000 Km",Lắp ráp trong nước,Hatchback,Số tự động,Xăng  1.4 L,Đỏ,,5 chỗ,5 cửa,,https://bonbanh.com/xe-vinfast-fadil-1.4-at-2021-5049010
2123,Xe Kia Carnival Signature 2.2D 2021- 1 Tỷ 285 Triệu,Đăng ngày  9/11/2023. Xem 15 lượt,Tuấn Mỳ Auto  Điện thoại:  0969 806 688    Hoặc  0905 936 688    Địa chỉ: 90 Nguyễn Văn Cừ - Long Biên Hà Nội  Website: tuanmyauto.bonbanh.com,2021,Xe đã dùng,"20,000 Km",Lắp ráp trong nước,Van/Minivan,Số tự động,Dầu  2.2 L,Trắng,,7 chỗ,5 cửa,,https://bonbanh.com/xe-kia-carnival-signature-2.2d-2021-5132966
2124,Xe Toyota Camry 2.5HV 2023- 1 Tỷ 420 Triệu,Đăng ngày  9/11/2023. Xem 6 lượt,"Toyota Thái Hòa  Điện thoại:  0965 151 999   Địa chỉ: Ngã 3 Tố Hữu - Mộ Lao, Trung Văn, Nam Từ Liêm Hà Nội  Website: toyotathaihoa.bonbanh.com",2023,Xe mới,,Nhập khẩu,Sedan,Số tự động,Hybrid  2.5 L,Trắng,,5 chỗ,4 cửa,,https://bonbanh.com/xe-toyota-camry-2.5hv-2023-5259343
2125,Xe Toyota Raize G 1.0 CVT 2023- 552 Triệu,Đăng ngày  9/11/2023. Xem 7 lượt,"Toyota Thủ Đức  Điện thoại:  0938 338 912   Địa chỉ: 522 QL 13, Khu phố 4, Hiệp Bình Phước, Q. Thủ Đức TP HCM  Website: toyotathuduc.bonbanh.com",2023,Xe mới,,Nhập khẩu,SUV,Số tự động,Xăng  1.0 L,Xanh,,5 chỗ,5 cửa,,https://bonbanh.com/xe-toyota-raize-g-1.0-cvt-2023-5218012
2126,Xe Mitsubishi Xpander 1.5 MT 2023- 520 Triệu,Đăng ngày  9/11/2023. Xem 7 lượt,"Đàm Nguyễn  Điện thoại:     Địa chỉ: 19 Trần Thủ Độ, KĐT Pháp Vân, Hoàng Liệt, Hoàng Mai Hà Nội   Xem gian hàng  ⇨",2023,Xe mới,,Lắp ráp trong nước,SUV,Số tay,Xăng  1.5 L,Đen,,7 chỗ,5 cửa,,https://bonbanh.com/xe-mitsubishi-xpander-1.5-mt-2023-4989619
2127,Xe Toyota Camry 2.0G 2021- 825 Triệu,Đăng ngày  9/11/2023. Xem 19 lượt,"Nguyễn Minh Phương  Điện thoại:     Địa chỉ: 220 Nguyễn Hữu Cảnh , P22, Q. Bình Thạnh TP HCM   Xem gian hàng  ⇨",2021,Xe đã dùng,"39,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng  2.0 L,Đỏ,,5 chỗ,4 cửa,,https://bonbanh.com/xe-toyota-camry-2.0g-2021-5289993
2128,Xe Mazda CX5 Luxury 2.0 AT 2022- 745 Triệu,Đăng ngày  9/11/2023. Xem 6 lượt,"Auto Phong Bổn  Điện thoại:  0787 874 274    Hoặc  0942 007 739    Địa chỉ: 14/1A Đại lộ Bình Dương, Kp. Bình Hòa, P. Lái Thiêu, Thuận An Bình Dương  Website: autophongbon.bonbanh.com",2022,Xe đã dùng,"20,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  2.0 L,Xanh,,5 chỗ,5 cửa,,https://bonbanh.com/xe-mazda-cx5-luxury-2.0-at-2022-5281492
